releaseDate,FIPS,county,state,NONE,D0,D1,D2,D3,D4,validStart,validEnd,domStatisticFormatID
5/22/12,6001,Alameda County,CA,0,100,97.71,0,0,0,5/22/12,5/28/12,1
5/29/12,6001,Alameda County,CA,0,100,97.71,0,0,0,5/29/12,6/4/12,1
6/5/12,6001,Alameda County,CA,0,100,97.71,0,0,0,6/5/12,6/11/12,1
6/12/12,6001,Alameda County,CA,0,100,97.71,0,0,0,6/12/12,6/18/12,1
6/19/12,6001,Alameda County,CA,0,100,98.02,0,0,0,6/19/12,6/25/12,1
6/26/12,6001,Alameda County,CA,0,100,98.02,0,0,0,6/26/12,7/2/12,1
7/3/12,6001,Alameda County,CA,0,100,96.23,0,0,0,7/3/12,7/9/12,1
7/10/12,6001,Alameda County,CA,0,100,96.52,0,0,0,7/10/12,7/16/12,1
7/17/12,6001,Alameda County,CA,0,100,96.52,0,0,0,7/17/12,7/23/12,1
7/24/12,6001,Alameda County,CA,0,100,96.52,0,0,0,7/24/12,7/30/12,1
7/31/12,6001,Alameda County,CA,0,100,96.52,0,0,0,7/31/12,8/6/12,1
8/7/12,6001,Alameda County,CA,0,100,96.52,0,0,0,8/7/12,8/13/12,1
8/14/12,6001,Alameda County,CA,0,100,96.18,0,0,0,8/14/12,8/20/12,1
8/21/12,6001,Alameda County,CA,0,100,96.18,0,0,0,8/21/12,8/27/12,1
8/28/12,6001,Alameda County,CA,0,100,96.24,0,0,0,8/28/12,9/3/12,1
9/4/12,6001,Alameda County,CA,0,100,95.65,0,0,0,9/4/12,9/10/12,1
9/11/12,6001,Alameda County,CA,0,100,95.36,0,0,0,9/11/12,9/17/12,1
9/18/12,6001,Alameda County,CA,0,100,96.14,0,0,0,9/18/12,9/24/12,1
9/25/12,6001,Alameda County,CA,0,100,96.14,0,0,0,9/25/12,10/1/12,1
10/2/12,6001,Alameda County,CA,0,100,96.14,0,0,0,10/2/12,10/8/12,1
10/9/12,6001,Alameda County,CA,0,100,93.29,0,0,0,10/9/12,10/15/12,1
10/16/12,6001,Alameda County,CA,0,100,92.98,0,0,0,10/16/12,10/22/12,1
10/23/12,6001,Alameda County,CA,0,100,92.98,0,0,0,10/23/12,10/29/12,1
10/30/12,6001,Alameda County,CA,0,100,92.98,0,0,0,10/30/12,11/5/12,1
11/6/12,6001,Alameda County,CA,0,100,92.98,0,0,0,11/6/12,11/12/12,1
11/13/12,6001,Alameda County,CA,0,100,92.98,0,0,0,11/13/12,11/19/12,1
11/20/12,6001,Alameda County,CA,0,100,92.98,0,0,0,11/20/12,11/26/12,1
11/27/12,6001,Alameda County,CA,0,100,92.98,0,0,0,11/27/12,12/3/12,1
12/4/12,6001,Alameda County,CA,5.7,94.3,10.92,0,0,0,12/4/12,12/10/12,1
12/11/12,6001,Alameda County,CA,84.42,15.58,0,0,0,0,12/11/12,12/17/12,1
12/18/12,6001,Alameda County,CA,84.42,15.58,0,0,0,0,12/18/12,12/24/12,1
12/25/12,6001,Alameda County,CA,84.42,15.58,0,0,0,0,12/25/12,12/31/12,1
1/1/13,6001,Alameda County,CA,84.42,15.58,0,0,0,0,1/1/13,1/7/13,1
1/8/13,6001,Alameda County,CA,84.35,15.65,0,0,0,0,1/8/13,1/14/13,1
1/15/13,6001,Alameda County,CA,100,0,0,0,0,0,1/15/13,1/21/13,1
1/22/13,6001,Alameda County,CA,100,0,0,0,0,0,1/22/13,1/28/13,1
1/29/13,6001,Alameda County,CA,100,0,0,0,0,0,1/29/13,2/4/13,1
2/5/13,6001,Alameda County,CA,100,0,0,0,0,0,2/5/13,2/11/13,1
2/12/13,6001,Alameda County,CA,100,0,0,0,0,0,2/12/13,2/18/13,1
2/19/13,6001,Alameda County,CA,10.9,89.1,0,0,0,0,2/19/13,2/25/13,1
2/26/13,6001,Alameda County,CA,0,100,0,0,0,0,2/26/13,3/4/13,1
3/5/13,6001,Alameda County,CA,0,100,0,0,0,0,3/5/13,3/11/13,1
3/12/13,6001,Alameda County,CA,0,100,0,0,0,0,3/12/13,3/18/13,1
3/19/13,6001,Alameda County,CA,0,100,0,0,0,0,3/19/13,3/25/13,1
3/26/13,6001,Alameda County,CA,0,100,0,0,0,0,3/26/13,4/1/13,1
4/2/13,6001,Alameda County,CA,0,100,0,0,0,0,4/2/13,4/8/13,1
4/9/13,6001,Alameda County,CA,0,100,0,0,0,0,4/9/13,4/15/13,1
4/16/13,6001,Alameda County,CA,0,100,0,0,0,0,4/16/13,4/22/13,1
4/23/13,6001,Alameda County,CA,0,100,0,0,0,0,4/23/13,4/29/13,1
4/30/13,6001,Alameda County,CA,0,100,0,0,0,0,4/30/13,5/6/13,1
5/7/13,6001,Alameda County,CA,0,100,100,0,0,0,5/7/13,5/13/13,1
5/14/13,6001,Alameda County,CA,0,100,100,0,0,0,5/14/13,5/20/13,1
5/21/13,6001,Alameda County,CA,0,100,100,0,0,0,5/21/13,5/27/13,1
5/28/13,6001,Alameda County,CA,0,100,100,0,0,0,5/28/13,6/3/13,1
6/4/13,6001,Alameda County,CA,0,100,100,0,0,0,6/4/13,6/10/13,1
6/11/13,6001,Alameda County,CA,0,100,100,0,0,0,6/11/13,6/17/13,1
6/18/13,6001,Alameda County,CA,0,100,100,0,0,0,6/18/13,6/24/13,1
6/25/13,6001,Alameda County,CA,0,100,100,100,0,0,6/25/13,7/1/13,1
7/2/13,6001,Alameda County,CA,0,100,100,100,0,0,7/2/13,7/8/13,1
7/9/13,6001,Alameda County,CA,0,100,100,100,0,0,7/9/13,7/15/13,1
7/16/13,6001,Alameda County,CA,0,100,100,100,0,0,7/16/13,7/22/13,1
7/23/13,6001,Alameda County,CA,0,100,100,100,0,0,7/23/13,7/29/13,1
7/30/13,6001,Alameda County,CA,0,100,100,100,0,0,7/30/13,8/5/13,1
8/6/13,6001,Alameda County,CA,0,100,100,100,0,0,8/6/13,8/12/13,1
8/13/13,6001,Alameda County,CA,0,100,100,100,0,0,8/13/13,8/19/13,1
8/20/13,6001,Alameda County,CA,0,100,100,100,0,0,8/20/13,8/26/13,1
8/27/13,6001,Alameda County,CA,0,100,100,100,0,0,8/27/13,9/2/13,1
9/3/13,6001,Alameda County,CA,0,100,100,100,0,0,9/3/13,9/9/13,1
9/10/13,6001,Alameda County,CA,0,100,100,100,0,0,9/10/13,9/16/13,1
9/17/13,6001,Alameda County,CA,0,100,100,100,0,0,9/17/13,9/23/13,1
9/24/13,6001,Alameda County,CA,0,100,100,100,0,0,9/24/13,9/30/13,1
10/1/13,6001,Alameda County,CA,0,100,100,100,0,0,10/1/13,10/7/13,1
10/8/13,6001,Alameda County,CA,0,100,100,100,0,0,10/8/13,10/14/13,1
10/15/13,6001,Alameda County,CA,0,100,100,100,0,0,10/15/13,10/21/13,1
10/22/13,6001,Alameda County,CA,0,100,100,100,0,0,10/22/13,10/28/13,1
10/29/13,6001,Alameda County,CA,0,100,100,100,0,0,10/29/13,11/4/13,1
11/5/13,6001,Alameda County,CA,0,100,100,100,0,0,11/5/13,11/11/13,1
