releaseDate,FIPS,county,state,NONE,D0,D1,D2,D3,D4,validStart,validEnd,domStatisticFormatID
3/29/16,6087,Santa Cruz County,CA,0,100,10.92,3.35,0,0,3/29/16,4/4/16,1
3/29/16,6089,Shasta County,CA,0,100,100,13.69,0,0,3/29/16,4/4/16,1
3/29/16,6091,Sierra County,CA,0,100,100,100,51.76,0,3/29/16,4/4/16,1
3/29/16,6093,Siskiyou County,CA,19.03,80.97,44.98,0,0,0,3/29/16,4/4/16,1
3/29/16,6095,Solano County,CA,0,100,95.38,82.38,62.68,8.91,3/29/16,4/4/16,1
3/29/16,6097,Sonoma County,CA,0,100,3.45,0,0,0,3/29/16,4/4/16,1
3/29/16,6099,Stanislaus County,CA,0,100,100,100,100,100,3/29/16,4/4/16,1
3/29/16,6101,Sutter County,CA,0,100,100,100,100,100,3/29/16,4/4/16,1
3/29/16,6103,Tehama County,CA,0,100,100,97.96,37.69,0,3/29/16,4/4/16,1
3/29/16,6105,Trinity County,CA,1.98,98.02,72.16,0.62,0,0,3/29/16,4/4/16,1
3/29/16,6107,Tulare County,CA,0,100,100,100,100,100,3/29/16,4/4/16,1
3/29/16,6109,Tuolumne County,CA,0,100,100,100,100,99.85,3/29/16,4/4/16,1
3/29/16,6111,Ventura County,CA,0,100,100,100,100,100,3/29/16,4/4/16,1
3/29/16,6113,Yolo County,CA,0,100,100,100,90.07,66.07,3/29/16,4/4/16,1
3/29/16,6115,Yuba County,CA,0,100,100,100,85.3,65.08,3/29/16,4/4/16,1
3/22/16,6001,Alameda County,CA,0,100,100,82.42,44.83,20.82,3/22/16,3/28/16,1
3/22/16,6003,Alpine County,CA,0,100,100,100,100,6.21,3/22/16,3/28/16,1
3/22/16,6005,Amador County,CA,0,100,100,100,100,71.34,3/22/16,3/28/16,1
3/22/16,6007,Butte County,CA,0,100,100,100,81.18,39.78,3/22/16,3/28/16,1
3/22/16,6009,Calaveras County,CA,0,100,100,100,100,96.63,3/22/16,3/28/16,1
3/22/16,6011,Colusa County,CA,0,100,100,100,86.29,25.96,3/22/16,3/28/16,1
3/22/16,6013,Contra Costa County,CA,0,100,100,86.27,45.39,8.88,3/22/16,3/28/16,1
3/22/16,6015,Del Norte County,CA,92.45,7.55,0,0,0,0,3/22/16,3/28/16,1
