releaseDate,FIPS,county,state,NONE,D0,D1,D2,D3,D4,validStart,validEnd,domStatisticFormatID
"2016-04-12","06001","Alameda County","CA","0.00","100.00","100.00","82.42","44.83","16.37","2016-04-12","2016-04-18","1"
"2016-04-05","06001","Alameda County","CA","0.00","100.00","100.00","82.42","44.83","16.37","2016-04-05","2016-04-11","1"
"2016-03-29","06001","Alameda County","CA","0.00","100.00","100.00","82.42","44.83","20.82","2016-03-29","2016-04-04","1"
"2016-03-22","06001","Alameda County","CA","0.00","100.00","100.00","82.42","44.83","20.82","2016-03-22","2016-03-28","1"
"2016-03-15","06001","Alameda County","CA","0.00","100.00","100.00","82.42","44.83","20.82","2016-03-15","2016-03-21","1"
"2016-03-08","06001","Alameda County","CA","0.00","100.00","100.00","100.00","98.46","20.82","2016-03-08","2016-03-14","1"
"2016-03-01","06001","Alameda County","CA","0.00","100.00","100.00","100.00","98.46","20.82","2016-03-01","2016-03-07","1"
"2016-02-23","06001","Alameda County","CA","0.00","100.00","100.00","100.00","98.46","20.82","2016-02-23","2016-02-29","1"
"2016-02-16","06001","Alameda County","CA","0.00","100.00","100.00","100.00","98.46","20.82","2016-02-16","2016-02-22","1"
"2016-02-09","06001","Alameda County","CA","0.00","100.00","100.00","100.00","98.46","20.82","2016-02-09","2016-02-15","1"
"2016-02-02","06001","Alameda County","CA","0.00","100.00","100.00","100.00","98.46","20.82","2016-02-02","2016-02-08","1"
"2016-01-26","06001","Alameda County","CA","0.00","100.00","100.00","100.00","99.93","18.96","2016-01-26","2016-02-01","1"
"2016-01-19","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2016-01-19","2016-01-25","1"
"2016-01-12","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2016-01-12","2016-01-18","1"
"2016-01-05","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2016-01-05","2016-01-11","1"
"2015-12-29","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-12-29","2016-01-04","1"
"2015-12-22","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-12-22","2015-12-28","1"
"2015-12-15","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-12-15","2015-12-21","1"
"2015-12-08","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-12-08","2015-12-14","1"
"2015-12-01","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-12-01","2015-12-07","1"
"2015-11-24","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-11-24","2015-11-30","1"
"2015-11-17","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-11-17","2015-11-23","1"
"2015-11-10","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-11-10","2015-11-16","1"
"2015-11-03","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-11-03","2015-11-09","1"
"2015-10-27","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-10-27","2015-11-02","1"
"2015-10-20","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-10-20","2015-10-26","1"
"2015-10-13","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-10-13","2015-10-19","1"
"2015-10-06","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-10-06","2015-10-12","1"
"2015-09-29","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-09-29","2015-10-05","1"
"2015-09-22","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-09-22","2015-09-28","1"
"2015-09-15","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-09-15","2015-09-21","1"
"2015-09-08","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-09-08","2015-09-14","1"
"2015-09-01","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-09-01","2015-09-07","1"
"2015-08-25","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-08-25","2015-08-31","1"
"2015-08-18","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-08-18","2015-08-24","1"
"2015-08-11","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-08-11","2015-08-17","1"
"2015-08-04","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-08-04","2015-08-10","1"
"2015-07-28","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-07-28","2015-08-03","1"
"2015-07-21","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-07-21","2015-07-27","1"
"2015-07-14","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-07-14","2015-07-20","1"
"2015-07-07","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-07-07","2015-07-13","1"
"2015-06-30","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-06-30","2015-07-06","1"
"2015-06-23","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-06-23","2015-06-29","1"
"2015-06-16","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-06-16","2015-06-22","1"
"2015-06-09","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-06-09","2015-06-15","1"
"2015-06-02","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-06-02","2015-06-08","1"
"2015-05-26","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-05-26","2015-06-01","1"
"2015-05-19","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-05-19","2015-05-25","1"
"2015-05-12","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-05-12","2015-05-18","1"
"2015-05-05","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-05-05","2015-05-11","1"
"2015-04-28","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-04-28","2015-05-04","1"
"2015-04-21","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-04-21","2015-04-27","1"
"2015-04-14","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-04-14","2015-04-20","1"
"2015-04-07","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-04-07","2015-04-13","1"
"2015-03-31","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-03-31","2015-04-06","1"
"2015-03-24","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-03-24","2015-03-30","1"
"2015-03-17","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-03-17","2015-03-23","1"
"2015-03-10","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-03-10","2015-03-16","1"
"2015-03-03","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-03-03","2015-03-09","1"
"2015-02-24","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-02-24","2015-03-02","1"
"2015-02-17","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-02-17","2015-02-23","1"
"2015-02-10","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-02-10","2015-02-16","1"
"2015-02-03","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-02-03","2015-02-09","1"
"2015-01-27","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-01-27","2015-02-02","1"
"2015-01-20","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-01-20","2015-01-26","1"
"2015-01-13","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-01-13","2015-01-19","1"
"2015-01-06","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2015-01-06","2015-01-12","1"
"2014-12-30","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2014-12-30","2015-01-05","1"
"2014-12-23","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2014-12-23","2014-12-29","1"
"2014-12-16","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","18.96","2014-12-16","2014-12-22","1"
"2014-12-09","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-12-09","2014-12-15","1"
"2014-12-02","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-12-02","2014-12-08","1"
"2014-11-25","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-11-25","2014-12-01","1"
"2014-11-18","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-11-18","2014-11-24","1"
"2014-11-11","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-11-11","2014-11-17","1"
"2014-11-04","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-11-04","2014-11-10","1"
"2014-10-28","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-10-28","2014-11-03","1"
"2014-10-21","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-10-21","2014-10-27","1"
"2014-10-14","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-10-14","2014-10-20","1"
"2014-10-07","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-10-07","2014-10-13","1"
"2014-09-30","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-09-30","2014-10-06","1"
"2014-09-23","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-09-23","2014-09-29","1"
"2014-09-16","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-09-16","2014-09-22","1"
"2014-09-09","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-09-09","2014-09-15","1"
"2014-09-02","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-09-02","2014-09-08","1"
"2014-08-26","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-08-26","2014-09-01","1"
"2014-08-19","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-08-19","2014-08-25","1"
"2014-08-12","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-08-12","2014-08-18","1"
"2014-08-05","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-08-05","2014-08-11","1"
"2014-07-29","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-07-29","2014-08-04","1"
"2014-07-22","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-07-22","2014-07-28","1"
"2014-07-15","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-07-15","2014-07-21","1"
"2014-07-08","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-07-08","2014-07-14","1"
"2014-07-01","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-07-01","2014-07-07","1"
"2014-06-24","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-06-24","2014-06-30","1"
"2014-06-17","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","100.00","2014-06-17","2014-06-23","1"
"2014-06-10","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","96.09","2014-06-10","2014-06-16","1"
"2014-06-03","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","96.09","2014-06-03","2014-06-09","1"
"2014-05-27","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","96.09","2014-05-27","2014-06-02","1"
"2014-05-20","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","96.09","2014-05-20","2014-05-26","1"
"2014-05-13","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","96.09","2014-05-13","2014-05-19","1"
"2014-05-06","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","96.09","2014-05-06","2014-05-12","1"
"2014-04-29","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","96.09","2014-04-29","2014-05-05","1"
"2014-04-22","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","96.09","2014-04-22","2014-04-28","1"
"2014-04-15","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","57.65","2014-04-15","2014-04-21","1"
"2014-04-08","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","57.65","2014-04-08","2014-04-14","1"
"2014-04-01","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","57.65","2014-04-01","2014-04-07","1"
"2014-03-25","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","57.65","2014-03-25","2014-03-31","1"
"2014-03-18","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","57.65","2014-03-18","2014-03-24","1"
"2014-03-11","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","57.65","2014-03-11","2014-03-17","1"
"2014-03-04","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","57.65","2014-03-04","2014-03-10","1"
"2014-02-25","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","57.65","2014-02-25","2014-03-03","1"
"2014-02-18","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","0.00","2014-02-18","2014-02-24","1"
"2014-02-11","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","0.00","2014-02-11","2014-02-17","1"
"2014-02-04","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","0.00","2014-02-04","2014-02-10","1"
"2014-01-28","06001","Alameda County","CA","0.00","100.00","100.00","100.00","100.00","0.00","2014-01-28","2014-02-03","1"
